address,matched_address,semantic_similarity
"Avenida de los Toreros 19, 28978 Cubas de la Sagra Spain","Avenida De Los Toreros 19, 28978 Cubas de la Sagra, Madrid, Spain",1
Achter de Heilige Geest 3 3811KE AMERSFOORT NL,"Achter De Heilige Geest 3, 3811 KE Amersfoort, Netherlands",1
"Am Kreuzbichl 2, 87675, Rettenbach a.Auerberg, DE","Am Kreuzbichl 2, 87675 Rettenbach am Auerberg, Germany",1
"Calle Panamá, 28  - Castellón -, 12200 Onda Spain","Carrer De Panamà 28, 12200 Onda, Castellón, Spain",1
25 links ave 2214 Milperra AU,"25 Links Avenue, Milperra New South Wales 2214, Australia",1
"Carl-Benz-Str. 1, 73095 Albershausen Germany","Carl-Benz-Straße 1, 73095 Albershausen, Germany",1
Bettrather Straße 91 41063 Mönchengladbach DE,"Bettrather Straße 91, 41063 Mönchengladbach, Germany",1
"Dorpsplein 26, 6311AN, RANSDAAL, NL","Dorpsplein 26, 6311 AN Ransdaal, Netherlands",1
"Bredabaan 501, 2990, Wuustwezel, BE","Bredabaan 501, 2990 Wuustwezel, Antwerp, Belgium",1
"Blekersweg 40, APELDOORN Netherlands","Blekersweg 40, 7312 GL Apeldoorn, Netherlands",1
"Alan Turingstraat 18, Hasselt Belgium","Alan Turingstraat 18, 3500 Hasselt, Limburg, Belgium",1
"Uitdammer Dorpsstraat 19, UITDAM Netherlands","Uitdammer Dorpsstraat 19, 1154 PS Uitdam, Netherlands",1
"Aberlestr. 31, M&uuml;nchen Germany","Aberlestraße 31, 81371 München, Germany",1
De Vrijheid 17 2421JZ NIEUWKOOP NL,"De Vrijheid 17, 2421 JZ Nieuwkoop, Netherlands",1
Arnhemseweg 23 3832GH Leusden NL,"Arnhemseweg 23, 3832 GH Leusden, Netherlands",1
"Nieuwstraat 107, 9340, Lede, BE","Nieuwstraat 107, 9340 Lede, East Flanders, Belgium",1
"Geertshof 11, 4817BW, Breda, NL","Geertshof 11, 4817 BW Breda, Netherlands",1
"'t Veldeke 2, 3040 Huldenberg Belgium","'t Veldeke 2, 3040 Huldenberg, Flemish Brabant, Belgium",1
"Hauptstr. 12, 82395 Obersöchering Germany","Hauptstraße 12, 82395 Obersöchering, Germany",1
Torenlaan 11 2103AC HEEMSTEDE NL,"Torenlaan 11, 2103 AC Heemstede, Netherlands",1
Zadel 11 3833XH LEUSDEN NL,"Zadel 11, 3833 XH Leusden, Netherlands",1
Jan van Eyckstraat 117 1318GD ALMERE NL,"Jan Van Eyckstraat 117, 1318 GD Almere, Netherlands",1
Molenstraat 52 2018 Antwerpen BE,"Molenstraat 52, 2018 Antwerpen, Antwerp, Belgium",1
"Lindenlaan 28, Uffelte Netherlands","Lindenlaan 28, 7975 AH Uffelte, Netherlands",1
"Römerstr 10, 56357 Himmighofen Germany","Römerstraße 10, 56357 Himmighofen, Germany",1
Oostelijke Handelskade 783 1019BW AMSTERDAM NL,"Oostelijke Handelskade 783, 1019 BW Amsterdam, Netherlands",1
2e Hollandiastraat 18 8701WL BOLSWARD NL,"2e Hollandiastraat 18, 8701 WL Bolsward, Netherlands",1
"Steiger 3, 9732BT, GRONINGEN, NL","Steiger 3, 9732 BT Groningen, Netherlands",1
Westerplein 48 2651JM BERKEL EN RODENRIJS NL,"Westerplein 48, 2651 JM Berkel en Rodenrijs, Netherlands",1
Hondsdraf 21 8219PW LELYSTAD NL,"Hondsdraf 21, 8219 PW Lelystad, Netherlands",1
Zilverschoon 30 6922GV DUIVEN NL,"Zilverschoon 30, 6922 GV Duiven, Netherlands",1
De Olmen 40 1974SJ IJMUIDEN NL,"De Olmen 40, 1974 SJ IJmuiden, Netherlands",1
Kolonel Harrystraat 31 2660 Antwerpen BE,"Kolonel Harrystraat 31, 2660 Antwerpen, Antwerp, Belgium",1
"In de Houtzaagmolen 78, DUIVENDRECHT Netherlands","In De Houtzaagmolen 78, 1115 GK Duivendrecht, Netherlands",1
"Graslelie 48, 2224JV Katwijk Netherlands","Graslelie 48, 2224 JV Katwijk, Netherlands",1
"Eeltsje Folkertsmawei 5G, 8915dw Leeuwarden Netherlands","Eeltsje Folkertsmawei 5g, 8915 DW Leeuwarden, Netherlands",1
Muiderwaard 721 1824XR Alkmaar NL,"Muiderwaard 721, 1824 XR Alkmaar, Netherlands",1
"280 RUE DE LA BELLE ETOILE -, 95700 ROISSY EN FRANCE France","280 Rue De La Belle Étoile, 95700 Roissy-en-France, France",1
"rozenhof 35, 2650, Edegem, BE","Rozenhof 35, 2650 Edegem, Antwerp, Belgium",1
"Driehoeven 11, Haaren Netherlands","Driehoeven 11, 5076 BA Haaren, Netherlands",1
"Hauptsstr 62, 86391 Stadtbergen Germany","Hauptstraße 62, 86391 Stadtbergen, Germany",1
"Hauptstrasse 13, 21442, Toppenstedt, DE","Hauptstraße 13, 21442 Toppenstedt, Germany",1
"Saarbrückerstraße 37, 66822 Lebach Germany","Saarbrücker Straße 37, 66822 Lebach, Germany",1
Heistershof 52 6065DD MONTFORT NL,"Heistershof 52, 6065 DD Montfort, Netherlands",1
Uitweg 89 3481BC HARMELEN NL,"Uitweg 89, 3481 BC Harmelen, Netherlands",1
"P. Engelvaartstraat 10, Spijkenisse Netherlands","P. Engelvaartstraat 10, 3201 KD Spijkenisse, Netherlands",1
"5 Mei Plein 12, 6701DG, WAGENINGEN, NL","5 Mei Plein 12, 6701 DG Wageningen, Netherlands",1
"Rostock 3, Barendrecht Netherlands","Rostock 3, 2993 LH Barendrecht, Netherlands",1
"Van Poeljeweg 43, ROTTERDAM Netherlands","Van Poeljeweg 43, 3052 TM Rotterdam, Netherlands",1
"Lekstraat 95, 2515 XB 'S-GRAVENHAGE Netherlands","Lekstraat 95, 2515 XB Den Haag, Netherlands",1
"Fort Vurenhof 16, Weesp Netherlands","Fort Vurenhof 16, 1384 BG Weesp, Netherlands",1
"C/ Rodriguez Marin, 71, 28016 Madrid Spain","Calle De Rodríguez Marín 71, 28016 Madrid, Madrid, Spain",1
"Neckarstr. 155, 70190 Stuttgart Germany","Neckarstraße 155, 70190 Stuttgart, Germany",1
"24 BLD DE STRASBOURG -, 31000 TOULOUSE France","24 Boulevard De Strasbourg, 31000 Toulouse, France",1
Tolhuswei 38 8927AH Leeuwarden NL,"Tolhûswei 38, 8927 AH Leeuwarden, Netherlands",1
"Grotestraat 285, 7441 GS, NIJVERDAL, NL","Grotestraat 285, 7441 GS Nijverdal, Netherlands",1
"Saffierborch 2, ROSMALEN Netherlands","Saffierborch 2, 5241 LN Rosmalen, Netherlands",1
"De Stuwdam 5, 3815 KM Amersfoort UT Netherlands","De Stuwdam 5, 3815 KM Amersfoort, Netherlands",1
"Via Masetto Vecchio 3, 38055 Grigno Italy","Via Masetto Vecchio 3, 38055 Grigno Trentino, Italy",1
"Fakkelgras 10, 3994ML Houten Netherlands","Fakkelgras 10, 3994 ML Houten, Netherlands",1
"Grote Markt 2, 8370 Blankenberge Belgium","Grote Markt 2, 8370 Blankenberge, West Flanders, Belgium",1
Hortensiastraat 8 6031VC Nederweert NL,"Hortensiastraat 8, 6031 VC Nederweert, Netherlands",1
Stephensonlaan 62 1222NX Hilversum NL,"Stephensonlaan 62, 1222 NX Hilversum, Netherlands",1
Cranenburgsestraat 164B 6562LV GROESBEEK NL,"Cranenburgsestraat 164b, 6562 LV Groesbeek, Netherlands",1
"Kleine Noordstraat 40, Hooglede Belgium","Kleine Noordstraat 40, 8830 Hooglede, West Flanders, Belgium",1
"Vaarlaars 50, 9080 Lochristi Belgium","Vaarlaars 50, 9080 Lochristi, East Flanders, Belgium",1
"Garde-du-Corps-Str. 7, 34117 Kassel Germany","Garde-du-Corps-Straße 7, 34117 Kassel, Germany",1
"Schans 85, VIJFHUIZEN Netherlands","Schans 85, 2141 MZ Vijfhuizen, Netherlands",1
"Compagnie 55, Steenwijk Netherlands","Compagnie 55, 8333 DJ Steenwijk, Netherlands",1
"De Fuik 1, WARMENHUIZEN Netherlands","De Fuik 1, 1749 XH Warmenhuizen, Netherlands",1
"Echtzerstr. 1c, 52353 Dueren Germany","Echtzer Straße 1c, 52353 Düren, Germany",1
"Weidelaan 33, HOEVELAKEN Netherlands","Weidelaan 33, 3871 PP Hoevelaken, Netherlands",1
Prof. H. Bavinckstraat 76 3555GS UTRECHT NL,"Professor H. Bavinckstraat 76, 3555 GS Utrecht, Netherlands",1
"ESPACE HENRY VALLEE 14, 69007 LYON France","14 Espace Henry Vallée, 69007 Lyon, France",1
Aarweg 29 29 8071WV Nunspeet NL,"Aarweg 29, 8071 WV Nunspeet, Netherlands",1
"Grasland 19, Barneveld Netherlands","Grasland 19, 3773 CB Barneveld, Netherlands",1
Klepperman 146 2401GL ALPHEN AAN DEN RIJN NL,"Klepperman 146, 2401 GL Alphen aan den Rijn, Netherlands",1
Hof van Portland 12 3162WJ RHOON NL,"Hof Van Portland 12, 3162 WJ Rhoon, Netherlands",1
"Ludwigstr. 28, 82140 Olching Germany","Ludwigstraße 28, 82140 Olching, Germany",1
"Laan 1940-1945 118, METEREN Netherlands","Laan 1940-1945 118, 4194 WR Meteren, Netherlands",1
"Friedrich-Bergius-Ring 15, 97076 Wuerzburg Germany","Friedrich-Bergius-Ring 15, 97076 Würzburg, Germany",1
"Uferstr. 3, 65366 Geisenheim Germany","Uferstraße 3, 65366 Geisenheim, Germany",1
"Van Beuningenplein 148, Amsterdam Netherlands","Van Beuningenplein 148, 1051 VZ Amsterdam, Netherlands",1
Van Broeckhuysenstraat 14 6511PH Nijmegen NL,"Van Broeckhuysenstraat 14, 6511 PH Nijmegen, Netherlands",1
"Prins Constantijnlaan 2, WAALRE Netherlands","Prins Constantijnlaan 2, 5582 KJ Waalre, Netherlands",1
"Smitsleane 14, RIJS Netherlands","Smitsleane 14, 8572 WD Rijs, Netherlands",1
"Rijnland 32, SPAARNDAM Netherlands","Rijnland 32, 2064 SE Spaarndam, Netherlands",1
"Gartenstrasse 15, 13088 Berlin Germany","Gartenstraße 15, 13088 Berlin, Germany",1
"Hartenlustlaan 18, Bloemendaal Netherlands","Hartenlustlaan 18, 2061 HB Bloemendaal, Netherlands",1
"Albrecht-Dürer-Str. 30, 55218 Ingelheim Germany","Albrecht-Dürer-Straße 30, 55218 Ingelheim am Rhein, Germany",1
Dommelstraat 9 5662EL GELDROP NL,"Dommelstraat 9, 5662 EL Geldrop, Netherlands",1
"Rue du Champ Morin 17, ZA La Gautraie Est35360 Montauban de Bretagne France","17 Rue Du Champ Morin, 35360 Montauban-de-Bretagne, France",1
"Oude Zevenhuizerstraat 9, AMERSFOORT Netherlands","Oude Zevenhuizerstraat 9, 3824 KA Amersfoort, Netherlands",1
"Rozemarijnstraat 13, BRIELLE Netherlands","Rozemarijnstraat 13, 3231 AL Brielle, Netherlands",1
Bloemstraat 99 8096VN OLDEBROEK NL,"Bloemstraat 99, 8096 VN Oldebroek, Netherlands",1
"Le-Mele-Str. 19, 61462 Königstein Germany","Le-Mêle-Straße 19, 61462 Königstein im Taunus, Germany",1
"Minerva 33, 1-1, 08392 SANT ANDREU DE LLAVANERES Spain","Carrer De Minerva 33, 08392 Sant Andreu de Llavaneres, Barcelona, Spain",1
"Weegbree 2, Hoogeveen Netherlands","Weegbree 2, 7909 HR Hoogeveen, Netherlands",1
Ruiter 1 5712XP SOMEREN NL,"Ruiter 1, 5712 XP Someren, Netherlands",1
"Binnenweg 18, MAARSSEN Netherlands","Binnenweg 18, 3604 AC Maarssen, Netherlands",1
Asterlaan 13 2950 KAPELLEN BE,"Asterlaan 13, 2950 Kapellen, Antwerp, Belgium",1
SCHWENSENS GATE14 0170 OSLO NO,"Schwensens Gate 14, 0170 Oslo, Norway",1
"Zandstraat 143, 4614CD, Bergen Op Zoom, NL","Zandstraat 143, 4614 CD Bergen op Zoom, Netherlands",1
"Julianalaan 59, ERMELO Netherlands","Julianalaan 59, 3851 RA Ermelo, Netherlands",1
Burchtweg 2 1749CX WARMENHUIZEN NL,"Burchtweg 2, 1749 CX Warmenhuizen, Netherlands",1
"Kennemermeer 27, 1976GK Ijmuiden Netherlands","Kennemermeer 27, 1976 GK IJmuiden, Netherlands",1
Prins Willem-Alexanderstraat 25 3241TD MIDDELHARNIS NL,"Prins Willem-Alexanderstraat 25, 3241 TD Middelharnis, Netherlands",1
Laagduurswoude 22 8423VN MAKKINGA NL,"Laagduurswoude 22, 8423 VN Makkinga, Netherlands",1
"Butefjild 14, FEANWALDEN Netherlands","Bûtefjild 14, 9269 TV Feanwâlden, Netherlands",1
De Zoom 10 6581DZ MALDEN NL,"De Zoom 10, 6581 DZ Malden, Netherlands",1
Prinsengracht 407A 1016HM Amsterdam NL,"Prinsengracht 407a, 1016 HM Amsterdam, Netherlands",1
"Energieweg 98017 BE, 8017 BE Zwolle Netherlands","Energieweg, 8017 BE Zwolle, Netherlands",1
"Rue de l'Eglise-Saint-Pierre 47, 1090 Bruxelles Belgium","Rue De L'église Saint-Pierre - Sint-Pieterskerkstraat 47, 1090 Jette, Brussels-Capital, Belgium",1
"Bahnhofstr. 3, 33014 Bad Driburg Germany","Bahnhofstraße 3, 33014 Bad Driburg, Germany",1
"Burg Krijgsmangeerde 7, Raamsdonksveer Netherlands","Burgemeester Krijgsmangeerde 7, 4942 AV Raamsdonksveer, Netherlands",1
"Industrieweg 41, 8304AC Emmeloord Netherlands","Industrieweg 41, 8304 AC Emmeloord, Netherlands",1
"Bergse Maas 25, 2641 VV Pynacker Netherlands","Bergse Maas 25, 2641 VV Pijnacker, Netherlands",1
"Pol. Ind. El Tempranar - C/ Abedul, 9, 28942 Fuenlabrada Spain","Calle Del Abedul 9, 28942 Fuenlabrada, Madrid, Spain",1
"Witzheldener Str. 47, 51399 Burscheid Germany","Witzheldener Straße 47, 51399 Burscheid, Germany",1
"36 rue saint barthelemy -, 31210 Montréjeau France","36 Rue Saint-Barthélémy, 31210 Montréjeau, France",1
"Hoogstraat 36, 4251CM Werkendam Netherlands","Hoogstraat 36, 4251 CM Werkendam, Netherlands",1
Rohnerstraat 9 8031EN ZWOLLE NL,"Röhnerstraat 9, 8031 EN Zwolle, Netherlands",1
"Griend 18H, 8321MN Urk Netherlands","Griend 18h, 8321 MN Urk, Netherlands",1
De Vischkom 15 3451KC VLEUTEN NL,"De Vischkom 15, 3451 KC Vleuten, Netherlands",1
"rue Nelaton 7, 75015 Paris France","7 Rue Nélaton, 75015 Paris, France",1
"Atjehstraat 71, LEIDEN Netherlands","Atjehstraat 71, 2315 CR Leiden, Netherlands",1
"VIA TEVERE 35, 60025 LORETO Italy","Via Tevere 35, 60025 Loreto Ancona, Italy",1
"Straatweg 116, 3621 BT Breukelen Ut Netherlands","Straatweg 116, 3621 BT Breukelen, Netherlands",1
"Am Voßberg 7, 23758 Oldenburg i. H. Germany","Am Voßberg 7, 23758 Oldenburg in Holstein, Germany",1
"Prins Hendrikstraat 1, WIJHE Netherlands","Prins Hendrikstraat 1, 8131 AC Wijhe, Netherlands",1
"Admiraliteitskade 62, 3063ED Rotterdam Netherlands","Admiraliteitskade 62, 3063 ED Rotterdam, Netherlands",1
"Wiener Strasse 14, 4481 Asten Austria","Wiener Straße 14, 4481 Asten, Austria",1
"Wildenborch 43, 2261XJ, LEIDSCHENDAM, NL","Wildenborch 43, 2261 XJ Leidschendam, Netherlands",1
Soomerlustplein 16 2275XM VOORBURG NL,"Soomerlustplein 16, 2275 XM Voorburg, Netherlands",1
Willem Barentszweg 13J 1212BK Hilversum NL,"Willem Barentszweg 13j, 1212 BK Hilversum, Netherlands",1
Koningin Elisabethlaan 29 9820 Merelbeke BE,"Koningin Elisabethlaan 29, 9820 Merelbeke, East Flanders, Belgium",1
Gladiusstraat 40 6852SB HUISSEN NL,"Gladiusstraat 40, 6852 SB Huissen, Netherlands",1
Astrastraat 15 1829JA OUDORP NL,"Astrastraat 15, 1829 JA Oudorp, Netherlands",1
Burgemeester Molenaarstraat 58 3078VC ROTTERDAM NL,"Burgemeester Molenaarstraat 58, 3078 VC Rotterdam, Netherlands",1
Grote Markt 28 8970 Poperinge BE,"Grote Markt 28, 8970 Poperinge, West Flanders, Belgium",1
"Eckernforder Straße 212, 24119 Kronshagen Germany","Eckernförder Straße 212, 24119 Kronshagen, Germany",1
De Beurs 55 3162WB Rhoon NL,"De Beurs 55, 3162 WB Rhoon, Netherlands",1
"Zaagmuldersweg 2, 9713LH, GRONINGEN, NL","Zaagmuldersweg 2, 9713 LH Groningen, Netherlands",1
"Kindergartenstr. 11, 97478 Knetzgau Germany","Kindergartenstraße 11, 97478 Knetzgau, Germany",1
Burgemeester Schaepmanstraat 6 5571CV BERGEIJK NL,"Burgemeester Schaepmanstraat 6, 5571 CV Bergeijk, Netherlands",1
"Karrepad 10, 9101JT, DOKKUM, NL","Karrepad 10, 9101 JT Dokkum, Netherlands",1
"Julianaplein 13, 2211CH, Noordwijkerhout, NL","Julianaplein 13, 2211 CH Noordwijkerhout, Netherlands",1
"Moundyk 2, 9051AH, STIENS, NL","Moundyk 2, 9051 AH Stiens, Netherlands",1
"Beresteinseweg 96, 1217TL, HILVERSUM, NL","Beresteinseweg 96, 1217 TL Hilversum, Netherlands",1
"VIA MENTORE MAGGINI 51, 00143 Roma Italy","Via Mentore Maggini 51, 00143 Roma Rome, Italy",1
Overweerse polderdijk 32 1442AE PURMEREND NL,"Overweerse Polderdijk 32, 1442 AE Purmerend, Netherlands",1
Dr. Schaepmanlaan 35 5142CP Waalwijk NL,"Doctor Schaepmanlaan 35, 5142 CP Waalwijk, Netherlands",1
"Gytsjerksterhoeke 9, GYTSJERK Netherlands","Gytsjerksterhoeke 9, 9061 AX Gytsjerk, Netherlands",1
Angerensestraat 20 6691GE GENDT NL,"Angerensestraat 20, 6691 GE Gendt, Netherlands",1
"Nerts 1, &#039;S-GRAVENZANDE Netherlands","Nerts 1, 2693 EJ 's-Gravenzande, Netherlands",1
Lisstraat 13 3202JG SPIJKENISSE NL,"Lisstraat 13, 3202 JG Spijkenisse, Netherlands",1
"ROUTE DE MAUBEUGE 44, 59600 ELESMES France","44 Route De Maubeuge, 59600 Élesmes, France",1
"Grotenbergestraat 164, 9620 Zottegem Belgium","Grotenbergestraat 164, 9620 Zottegem, East Flanders, Belgium",1
"Wilhelm-Buck-Str. 2, 01097 Dresden Germany","Wilhelm-Buck-Straße 2, 01097 Dresden, Germany",1
"Wiesenstrasse 32, ‹79585 Steinen Germany","Wiesenstraße 32, 79585 Steinen, Germany",1
Rozenlaan 55 4401HE YERSEKE NL,"Rozenlaan 55, 4401 HE Yerseke, Netherlands",1
Stadhouderslaan 13 3956TB Leersum NL,"Stadhouderslaan 13, 3956 TB Leersum, Netherlands",1
"Bahhofstraße 3, 57290 Neunkirchen Germany","Bahnhofstraße 3, 57290 Neunkirchen, Germany",1
"Amersfoortsestraatweg 91, BUSSUM Netherlands","Amersfoortsestraatweg 91, 1403 AP Bussum, Netherlands",1
Oleanderweg 41 06122 Halle (Saale) DE,"Oleanderweg 41, 06122 Halle, Germany",1